DC Bias Voltage (mV), DC Tunneling Current (mA)
0.016102, 0.008779
0.017069, 0.008747
0.019324, 0.008779
0.021901, 0.008827
0.023834, 0.008860
0.026090, 0.008876
0.027701, 0.008876
0.030600, 0.008924
0.033178, 0.008940
0.035111, 0.008940
0.036722, 0.008988
0.038977, 0.008988
0.041232, 0.009037
0.043810, 0.009069
0.046065, 0.009037
0.047998, 0.009101
0.050575, 0.009133
0.053153, 0.009101
0.054764, 0.009150
0.057019, 0.009198
0.059919, 0.009214
0.062174, 0.009230
0.063141, 0.009278
0.066040, 0.009311
0.068618, 0.009311
0.071195, 0.009359
0.072484, 0.009375
0.074739, 0.009391
0.076994, 0.009423
0.079572, 0.009440
0.081183, 0.009472
0.083760, 0.009536
0.086660, 0.009552
0.088271, 0.009552
0.091170, 0.009585
0.093103, 0.009585
0.094714, 0.009633
0.096969, 0.009633
0.099225, 0.009681
0.101802, 0.009697
0.103735, 0.009730
0.105991, 0.009778
0.108568, 0.009842
0.110823, 0.009858
0.113079, 0.009810
0.115334, 0.009907
0.117589, 0.009907
0.119522, 0.009939
0.122100, 0.009907
0.124355, 0.009987
0.126610, 0.009987
0.129188, 0.010052
0.130476, 0.010036
0.132409, 0.010068
0.134665, 0.010116
0.137242, 0.010132
0.140142, 0.010197
0.141430, 0.010164
0.144008, 0.010213
0.146263, 0.010213
0.148518, 0.010261
0.150451, 0.010261
0.153351, 0.010277
0.155284, 0.010326
0.157862, 0.010342
0.160117, 0.010390
0.162372, 0.010406
0.164305, 0.010438
0.166238, 0.010454
0.168816, 0.010503
0.170749, 0.010487
0.173004, 0.010551
0.175259, 0.010567
0.177837, 0.010599
0.180414, 0.010616
0.182347, 0.010616
0.184280, 0.010632
0.186536, 0.010664
0.188791, 0.010696
0.190724, 0.010744
0.193302, 0.010744
0.195235, 0.010825
0.197812, 0.010777
0.199745, 0.010825
0.202000, 0.010857
0.204578, 0.010857
0.206511, 0.010905
0.208766, 0.010905
0.211021, 0.010905
0.212955, 0.010986
0.215210, 0.011002
0.218109, 0.011034
0.220365, 0.011002
0.222298, 0.011067
0.224553, 0.011083
0.226486, 0.011099
0.228741, 0.011115
0.231641, 0.011163
0.232930, 0.011195
0.235829, 0.011212
0.237762, 0.011212
0.240340, 0.011228
0.242273, 0.011260
0.244528, 0.011292
0.246461, 0.011292
0.249039, 0.011324
0.250972, 0.011340
0.253549, 0.011324
0.255160, 0.011373
0.258382, 0.011389
0.260315, 0.011421
0.261926, 0.011389
0.264504, 0.011437
0.266437, 0.011453
0.269336, 0.011485
0.271591, 0.011502
0.273847, 0.011518
0.275458, 0.011534
0.278357, 0.011550
0.280613, 0.011582
0.283190, 0.011598
0.285445, 0.011598
0.287056, 0.011598
0.288989, 0.011630
0.291245, 0.011646
0.293822, 0.011663
0.296077, 0.011663
0.298333, 0.011679
0.300588, 0.011711
0.302521, 0.011727
0.304776, 0.011759
0.307676, 0.011759
0.309609, 0.011775
0.312186, 0.011791
0.314119, 0.011840
0.316052, 0.011824
0.317986, 0.011808
0.320241, 0.011824
0.322174, 0.011856
0.325074, 0.011872
0.326362, 0.011840
0.329584, 0.011856
0.331839, 0.011904
0.333450, 0.011920
0.335705, 0.011936
0.338283, 0.011969
0.339894, 0.011953
0.343116, 0.011985
0.345371, 0.011953
0.346982, 0.012001
0.348915, 0.012017
0.351815, 0.012065
0.354070, 0.012049
0.356003, 0.012049
0.358258, 0.012033
0.360191, 0.012065
0.362769, 0.012081
0.364702, 0.012098
0.367601, 0.012114
0.369534, 0.012098
0.371468, 0.012130
0.374045, 0.012130
0.376622, 0.012162
0.378233, 0.012130
0.381133, 0.012178
0.383066, 0.012178
0.385321, 0.012194
0.387577, 0.012178
0.389510, 0.012178
0.391765, 0.012210
0.394342, 0.012226
0.395953, 0.012226
0.398853, 0.012210
0.401108, 0.012243
0.403363, 0.012259
0.405941, 0.012275
0.407552, 0.012275
0.410129, 0.012291
0.412385, 0.012307
0.414318, 0.012275
0.415929, 0.012291
0.418184, 0.012339
0.419795, 0.012323
0.423339, 0.012323
0.425594, 0.012323
0.427527, 0.012355
0.429782, 0.012339
0.431715, 0.012388
0.433971, 0.012388
0.436548, 0.012371
0.438481, 0.012371
0.441059, 0.012371
0.442670, 0.012388
0.445247, 0.012404
0.448147, 0.012404
0.450402, 0.012404
0.451691, 0.012436
0.454268, 0.012452
0.456523, 0.012436
0.458779, 0.012468
0.460712, 0.012468
0.462967, 0.012484
0.465867, 0.012516
0.467155, 0.012484
0.470377, 0.012468
0.472632, 0.012516
0.474565, 0.012484
0.475854, 0.012500
0.479076, 0.012516
0.481009, 0.012516
0.482942, 0.012484
0.485520, 0.012516
0.487453, 0.012516
0.490352, 0.012565
0.491963, 0.012565
0.494219, 0.012581
0.496152, 0.012581
0.498729, 0.012613
0.501307, 0.012581
0.503562, 0.012629
0.505495, 0.012629
0.507428, 0.012597
0.510005, 0.012597
0.512905, 0.012629
0.514516, 0.012629
0.517093, 0.012645
0.519026, 0.012677
0.520960, 0.012661
0.523215, 0.012661
0.525148, 0.012677
0.527725, 0.012710
0.529981, 0.012694
0.532236, 0.012710
0.535136, 0.012710
0.537069, 0.012758
0.539324, 0.012726
0.541257, 0.012726
0.543190, 0.012742
0.545445, 0.012758
0.548023, 0.012758
0.549956, 0.012790
0.552533, 0.012758
0.555111, 0.012774
0.556722, 0.012790
0.559299, 0.012790
0.560910, 0.012790
0.562843, 0.012806
0.566065, 0.012806
0.567676, 0.012806
0.569931, 0.012839
0.572509, 0.012806
0.575408, 0.012806
0.576697, 0.012839
0.578952, 0.012839
0.581852, 0.012855
0.583463, 0.012839
0.586040, 0.012903
0.587973, 0.012903
0.589906, 0.012887
0.592484, 0.012967
0.594739, 0.012984
